MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21530491,5300000.0,85637,2154.0,5272.0,1941,13,10.0,10500.0,0.0,"Dishwasher, Freezer, Refrigerator, Oven",6,"Mexican Tile, Wood",0
21529082,4200000.0,85646,1707.0,10422.36,1997,2,2.0,7300.0,0.0,"Dishwasher, Garbage Disposal",5,"Natural Stone, Other",0
3054672,4200000.0,85646,1707.0,10482.0,1997,2,3.0,3512.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",5,"Natural Stone, Other: Rock",0
21919321,4500000.0,85646,636.67,8418.58,1930,7,5.0,9019.0,4.0,"Dishwasher, Double Sink, Pantry: Butler, Refrigerator",4,"Ceramic Tile, Laminate, Wood",0
21306357,3411450.0,85750,3.21,15393.0,1995,4,6.0,6396.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Concrete",55
21528016,3250000.0,85718,1.67,27802.84,1999,3,4.0,6842.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Natural Stone, Wood, Other",422
21610478,2400000.0,85712,2.1,19038.42,2001,9,8.0,12025.0,4.0,"Dishwasher, Garbage Disposal, Oven",6,"Carpet, Natural Stone, Wood, Other",0
21211741,2500000.0,85750,1.07,21646.0,2011,6,8.0,8921.0,4.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone, Wood",220
21324646,3700000.0,85718,6.73,25094.39,2002,5,7.0,5238.0,3.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood, Other",421
21812010,3250000.0,85750,3.53,18936.11,2007,5,6.0,6480.0,3.0,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In",2,"Carpet, Concrete",141
21900396,2776518.0,85640,147.18,7330.36,1935,5,5.0,5067.0,5.0,"Freezer, Refrigerator, Appliance Color: Stainless, Countertops: wood and granite, Oven: 2 ovens-Main 1-GH",5,"Concrete, Natural Stone, Wood",0
21131956,2050000.0,85718,1.65,24353.0,2009,5,6.0,7230.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",357
21217839,2100000.0,85637,29.6,11723.0,1995,6,7.0,6454.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Mexican Tile, Natural Stone, Wood",0
21625369,2200000.0,85658,1.82,5198.58,2015,4,6.0,5826.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Natural Stone,148
21534099,3000000.0,85739,0.0,29669.0,2008,3,3.0,3095.0,0.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
21225585,2600000.0,85739,0.0,18044.0,2008,3,3.0,3095.0,0.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
21700487,3000000.0,85750,3.1,24040.26,2002,3,6.0,7756.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite",3,"Carpet, Natural Stone",142
21300933,2500000.0,85718,1.25,19565.2,2010,4,5.0,5338.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone",173
21324339,2600000.0,85739,0.0,17567.18,2008,3,3.0,3095.0,0.0,"Dishwasher, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
21400806,2800000.0,85750,93.0,22320.0,1983,4,5.0,6050.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Concrete, Natural Stone, Wood",167
21207846,2600000.0,85739,0.0,8753.35,2008,3,3.0,3095.0,0.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Natural Stone, Wood",0
21301309,2000000.0,85750,0.64,11322.0,2001,5,6.0,7471.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone, Wood, Other",123
21503191,2400000.0,85718,3.42,22655.99,2005,4,7.0,6356.0,4.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",421
